,Clue,Word,Class,Solved_answer,Is answer correct,cleaned_answer
3723,Spanish royal,REINA,Foreign language,real,FALSE,REAL
3726,Spanish royalty,REINAS,Foreign language,realeza,FALSE,REALEZA
3727,French royal,REINE,Foreign language,royale,FALSE,ROYALE
3729,French income,RENTE,Foreign language,revenu,FALSE,REVENU
3730,French revenue,RENTE,Foreign language,revenu,FALSE,REVENU
3731,Spanish monarch,REY,Foreign language,monarca,FALSE,MONARCA
3720,Spanish coins of yore,REALS,Foreign language,monedas de antaño,FALSE,MONEDASDEANTANO
3732,Spanish royal,REY,Foreign language,real,FALSE,REAL
3736,Spanish royalty,REYES,Foreign language,realeza,FALSE,REALEZA
3737,Feature on a Spanish map,RIO,Foreign language,Aparecer,FALSE,APARECER
3738,Spanish stream,RIO,Foreign language,arroyo,FALSE,ARROYO
3739,Dry Spanish wine,RIOJA,Foreign language,['Could not parse foreign language clue'],FALSE,
3740,Spanish table wine,RIOJA,Foreign language,vino de mesa,FALSE,VINODEMESA
3741,Red Spanish wine,RIOJA,Foreign language,['Could not parse foreign language clue'],FALSE,
3742,"Spanish wine region, with ""La""",RIOJA,Foreign language,"Región del vino, con ""LA""",FALSE,REGIONDELVINOCONLA
3743,Spanish red wine,RIOJA,Foreign language,vino tinto,FALSE,VINOTINTO
3733,Spanish chess piece,REY,Foreign language,pieza de ajedrez,FALSE,PIEZADEAJEDREZ
3719,Coins in a Spanish treasure,REALES,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3718,Old Spanish coins,REALES,Foreign language,['Could not parse foreign language clue'],FALSE,
3717,Old Spanish silver coins,REALES,Foreign language,['Could not parse foreign language clue'],FALSE,
3695,"Senior, in French names",PERE,Foreign language,Cadres supérieurs,FALSE,CADRESSUPERIEURS
3696,French homophone of 30-Down,PERE,Foreign language,homophone de 30-down,FALSE,HOMOPHONEDE30DOWN
3699,Old Spanish coin,PESETA,Foreign language,['Could not parse foreign language clue'],FALSE,
3700,Old Spanish bread,PESETA,Foreign language,['Could not parse foreign language clue'],FALSE,
3701,Former Spanish coin,PESETA,Foreign language,['Could not parse foreign language clue'],FALSE,
3702,Pre-euro Spanish coin,PESETA,Foreign language,['Could not parse foreign language clue'],FALSE,
3703,Spanish bread,PESETAS,Foreign language,pan,FALSE,PAN
3704,Spanish specie,PESETAS,Foreign language,metálico,FALSE,METALICO
3705,Spanish beans,PESETAS,Foreign language,frijoles,FALSE,FRIJOLES
3706,Spanish cabbage,PESETAS,Foreign language,repollo,FALSE,REPOLLO
3709,Spanish precious metal,PLATA,Foreign language,metal precioso,FALSE,METALPRECIOSO
3712,Spanish fowl,POLLO,Foreign language,ave,FALSE,AVE
3715,Spanish interrogative,QUE,Foreign language,interrogativo,FALSE,INTERROGATIVO
3716,Coin on the Spanish Main,REAL,Foreign language,['Could not parse foreign language clue'],FALSE,
3744,Spanish wine,RIOJA,Foreign language,vino,FALSE,VINO
3745,Spanish waterways,RIOS,Foreign language,vías fluviales,FALSE,VIASFLUVIALES
3747,Spanish streams,RIOS,Foreign language,corrientes,FALSE,CORRIENTES
3773,French cooking staple,SEL,Foreign language,aliment de cuisson,FALSE,ALIMENTDECUISSON
3775,Spanish gent,SENOR,Foreign language,caballero,FALSE,CABALLERO
3776,Half of a Spanish union,SENORA,Foreign language,La mitad de,FALSE,LAMITADDE
3777,Some Spanish titles,SENORS,Foreign language,['Could not parse foreign language clue'],FALSE,
3778,Spanish gents,SENORS,Foreign language,caballeros,FALSE,CABALLEROS
3779,Spanish 101 verb,SER,Foreign language,101 verbo,FALSE,101VERBO
3781,Spanish irregular verb,SER,Foreign language,verbo irregular,FALSE,VERBOIRREGULAR
3782,French possessive,SES,Foreign language,possessif,FALSE,POSSESSIF
3783,"German ""you""",SIE,Foreign language,"""Du""",FALSE,DU
3784,Spanish dice roll,SIETE,Foreign language,rollo de dados,FALSE,ROLLODEDADOS
3785,Enthusiastic Spanish assent,SISI,Foreign language,['Could not parse foreign language clue'],FALSE,
3786,Enthusiastic assent in Spanish,SISI,Foreign language,Asentimiento entusiasta,FALSE,ASENTIMIENTOENTUSIASTA
3787,Spanish title: Abbr.,SRA,Foreign language,Título: Abbr.,FALSE,TITULOABBR
3788,Spanish 23-Across: Abbr.,SRA,Foreign language,"['23-Across: Abbr.', 'Translation uncertain']",FALSE,
3789,Spanish Mrs.,SRA,Foreign language,Señora.,FALSE,SENORA
3790,Spanish ladies: Abbr.,SRAS,Foreign language,Damas: Abbr.,FALSE,DAMASABBR
3791,Spanish title: Abbr.,SRTA,Foreign language,Título: Abbr.,FALSE,TITULOABBR
3792,Spanish miss: Abbr.,SRTA,Foreign language,Señorita: Abbr.,FALSE,SENORITAABBR
3793,Spanish counterpart of a mlle.,SRTA,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3772,French preservative,SEL,Foreign language,conservateur,FALSE,CONSERVATEUR
3771,French shaker contents,SEL,Foreign language,contenu de shaker,FALSE,CONTENUDESHAKER
3769,"Partner of poivre, in French seasoning",SEL,Foreign language,Partenaire de poivre,FALSE,PARTENAIREDEPOIVRE
3748,French chess piece,ROI,Foreign language,pièce d'échecs,FALSE,PIECEDECHECS
3750,French pooh-bah,ROI,Foreign language,caca,FALSE,CACA
3752,Color in a Spanish sunset,ROJO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3753,Spanish Steps city,ROME,Foreign language,Pasando ciudad,FALSE,PASANDOCIUDAD
3754,Spanish flower,ROSA,Foreign language,flor,FALSE,FLOR
3755,Some Spanish flowers,ROSAS,Foreign language,['Could not parse foreign language clue'],FALSE,
3756,Spanish seasoning that's a letter short of its English counterpart,SAL,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3757,Spanish seasoning,SAL,Foreign language,condimento,FALSE,CONDIMENTO
3758,Spanish parlor,SALA,Foreign language,salón,FALSE,SALON
3759,Spanish hotel reservation,SALA,Foreign language,reserva de hotel,FALSE,RESERVADEHOTEL
3760,Spanish toast,SALUD,Foreign language,tostada,FALSE,TOSTADA
3761,Spanish wine beverage,SANGRIA,Foreign language,bebida de vino,FALSE,BEBIDADEVINO
3762,Italian apologies,SCUSE,Foreign language,Ci scusiamo,FALSE,CISCUSIAMO
3763,Italian apology,SCUSI,Foreign language,scuse,FALSE,SCUSE
3764,Spanish 3 + 3,SEIS,Foreign language,"['3 + 3', 'Translation uncertain']",FALSE,
3765,Number of strings on a Spanish guitar,SEIS,Foreign language,Número de cuerdas en,FALSE,NUMERODECUERDASEN
3766,Spanish cardinal,SEIS,Foreign language,cardenal,FALSE,CARDENAL
3767,Spanish half-dozen,SEIS,Foreign language,media docena,FALSE,MEDIADOCENA
3770,French seasoning,SEL,Foreign language,assaisonnement,FALSE,ASSAISONNEMENT
3481,French family members,FRERES,Foreign language,membres de la famille,FALSE,MEMBRESDELAFAMILLE
3507,French roll call response,ICI,Foreign language,Réponse de l'appel de roulement,FALSE,REPONSEDELAPPELDEROULEMENT
3284,"Italian ""dear""",CARA,Foreign language,"""Caro""",FALSE,CARO
3285,Italian beloved,CARA,Foreign language,amato,FALSE,AMATO
3286,Italian sweetie,CARA,Foreign language,dolcezza,FALSE,DOLCEZZA
3287,Italian honey,CARA,Foreign language,Miele,FALSE,MIELE
3288,Italian dearie,CARA,Foreign language,"['dearie', 'Translation uncertain']",FALSE,
3164,"French toast maker, maybe",AMI,Foreign language,"Toast Maker, peut-être",FALSE,TOASTMAKERPEUTETRE
3163,French Facebook connection,AMI,Foreign language,Connexion Facebook,FALSE,CONNEXIONFACEBOOK
3283,"Italian ""darling""",CARA,Foreign language,"""Tesoro""",FALSE,TESORO
3291,Italian sweet?,CARO,Foreign language,dolce?,FALSE,DOLCE
3293,Italian term of endearment,CARO,Foreign language,vezzeggiativo,FALSE,VEZZEGGIATIVO
3295,Spanish word repeated in a welcoming phrase,CASA,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3296,Spanish abode,CASA,Foreign language,morada,FALSE,MORADA
3160,Le Pen pal?,AMI,Foreign language,['Could not parse foreign language clue'],FALSE,
3159,"Beau, to Brigitte",AMI,Foreign language,['Could not parse foreign language clue'],FALSE,
3300,"That, in France",CELA,Foreign language,Que,FALSE,QUE
3292,Italian sweetheart,CARO,Foreign language,Tesoro,FALSE,TESORO
3301,Italian 100,CENTO,Foreign language,"['100', 'Translation uncertain']",FALSE,
3165,"French kiss recipient, maybe",AMI,Foreign language,"récipiendaire de baiser, peut-être",FALSE,RECIPIENDAIREDEBAISERPEUTETRE
3167,French sweet,AMI,Foreign language,doux,FALSE,DOUX
3176,French girlfriend,AMIE,Foreign language,petite amie,FALSE,PETITEAMIE
3174,Lady friend in Italy,AMICA,Foreign language,Amico,FALSE,AMICO
3173,French date,AMI,Foreign language,"['date', 'Translation uncertain']",FALSE,
3172,Paris associate,AMI,Foreign language,associé,FALSE,ASSOCIE
3171,French toast recipient?,AMI,Foreign language,Récipiendaire de toast?,FALSE,RECIPIENDAIREDETOAST
3170,French ally,AMI,Foreign language,allié,FALSE,ALLIE
3166,"Pal, in Paris",AMI,Foreign language,Copain,FALSE,COPAIN
3275,Paris eateries,BISTROS,Foreign language,restaurants,FALSE,RESTAURANTS
3277,"Like the sky, in France",BLEU,Foreign language,Comme le ciel,FALSE,COMMELECIEL
3278,Spanish tar,BREA,Foreign language,alquitrán,FALSE,ALQUITRAN
3279,It's good in Mexico,BUENO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3280,Start of a Spanish greeting,BUENOS,Foreign language,Inicio de,FALSE,INICIODE
3281,"Joe, in France",CAFE,Foreign language,Joe.,FALSE,JOE
3169,French intimate,AMI,Foreign language,intime,FALSE,INTIME
3168,Pal in Paris,AMI,Foreign language,Copain,FALSE,COPAIN
3276,"French flag color, in France",BLANC,Foreign language,Couleur du drapeau français,FALSE,COULEURDUDRAPEAUFRANÇAIS
3303,Spanish term of affection between young women,CHICA,Foreign language,Término de afecto entre mujeres jóvenes,FALSE,TERMINODEAFECTOENTREMUJERESJOVENES
3327,French preposition,DES,Foreign language,préposition,FALSE,PREPOSITION
3156,"To love, Italian-style",AMARE,Foreign language,['Could not parse foreign language clue'],FALSE,
3328,French surname start,DES,Foreign language,Nom de famille Start,FALSE,NOMDEFAMILLESTART
3329,"From, in France",DES,Foreign language,Depuis,FALSE,DEPUIS
3330,French pair,DEUX,Foreign language,paire,FALSE,PAIRE
3153,"Tree-lined way, in France",ALLEE,Foreign language,Voie doublée d'arbres,FALSE,VOIEDOUBLEEDARBRES
3332,Italian 10,DIECI,Foreign language,"['10', 'Translation uncertain']",FALSE,
3326,French surname starter,DES,Foreign language,starter de famille,FALSE,STARTERDEFAMILLE
3152,French avenue,ALLEE,Foreign language,rue,FALSE,RUE
3335,Spanish Almighty,DIOS,Foreign language,Todopoderoso,FALSE,TODOPODEROSO
3336,Spanish building topper,DOMO,Foreign language,edificio topper,FALSE,EDIFICIOTOPPER
3337,Spanish gentleman,DON,Foreign language,hidalgo,FALSE,HIDALGO
3191,Paris pal,AMIE,Foreign language,copain,FALSE,COPAIN
3339,Spanish lady,DONA,Foreign language,dama,FALSE,DAMA
3340,Spanish title,DONA,Foreign language,título,FALSE,TITULO
3341,Spanish woman,DONA,Foreign language,mujer,FALSE,MUJER
3325,"""You're welcome,"" in Spanish",DENADA,Foreign language,""".",FALSE,
3157,French fine,AMENDE,Foreign language,bien,FALSE,BIEN
3323,Spanish hill,CUESTA,Foreign language,colina,FALSE,COLINA
3306,Spanish pork sausage,CHORIZO,Foreign language,salchicha de cerdo,FALSE,SALCHICHADECERDO
3307,Spanish/Mexican pastry,CHURRO,Foreign language,['Could not parse foreign language clue'],FALSE,
3308,Spanish pastry,CHURRO,Foreign language,pasteles,FALSE,PASTELES
3309,Italian goodbye,CIAO,Foreign language,arrivederci,FALSE,ARRIVEDERCI
3311,"Italian's ""bye""",CIAO,Foreign language,['Could not parse foreign language clue'],FALSE,
3312,"Inc., in France",CIE,Foreign language,"['Inc.', 'Translation uncertain']",FALSE,
3313,"Co., in France",CIE,Foreign language,Co. ,FALSE,CO
3314,"Business firm, in France: Abbr.",CIE,Foreign language,Entreprise d'affaires,FALSE,ENTREPRISEDAFFAIRES
3158,"Fine, in France",AMENDE,Foreign language,Bien,FALSE,BIEN
3317,Spanish interrogative,COMO,Foreign language,interrogativo,FALSE,INTERROGATIVO
3318,Spanish greeting,COMOESTA,Foreign language,saludo,FALSE,SALUDO
3319,Spanish 101 question,COMOESTA,Foreign language,101 Pregunta,FALSE,101PREGUNTA
3320,It's a thing in Mexico,COSA,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3322,"Italian for ""baked""",COTTA,Foreign language,"""cotto""",FALSE,COTTO
3267,Italian's word of approval,BELLA,Foreign language,['Could not parse foreign language clue'],FALSE,
3266,Spanish infant,BEBE,Foreign language,niño,FALSE,NINO
3213,Spanish love,AMOR,Foreign language,amar,FALSE,AMAR
3214,Spanish opposite of odio,AMOR,Foreign language,opuesto a Odio,FALSE,OPUESTOAODIO
3215,Spanish sweetheart,AMOR,Foreign language,cariño,FALSE,CARINO
3216,"Love, Spanish-style",AMOR,Foreign language,['Could not parse foreign language clue'],FALSE,
3217,Italian ballad subject,AMOR,Foreign language,soggetto di ballata,FALSE,SOGGETTODIBALLATA
3218,Love of Spain,AMOR,Foreign language,['Could not parse foreign language clue'],FALSE,
3219,Subject of an Italian aria,AMORE,Foreign language,['Could not parse foreign language clue'],FALSE,
3212,"Mine, in France",AMOI,Foreign language,Le mien,FALSE,LEMIEN
3220,"Love, Italian-style",AMORE,Foreign language,['Could not parse foreign language clue'],FALSE,
3222,Subject for an Italian aria,AMORE,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3223,It may be blind in Italy,AMORE,Foreign language,Potrebbe essere cieco,FALSE,POTREBBEESSERECIECO
3224,A many-splendored thing in Italy?,AMORE,Foreign language,Una cosa moltiplorata,FALSE,UNACOSAMOLTIPLORATA
3186,French gal pal,AMIE,Foreign language,gal pote,FALSE,GALPOTE
3225,"Love, Italian style",AMORE,Foreign language,['Could not parse foreign language clue'],FALSE,
3226,French affair,AMOUR,Foreign language,affaire,FALSE,AFFAIRE
3227,French romance,AMOUR,Foreign language,"['romance', 'Translation uncertain']",FALSE,
3221,Love Italian-style,AMORE,Foreign language,['Could not parse foreign language clue'],FALSE,
3211,French call for help,AMOI,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3210,"""Help!"" in France",AMOI,Foreign language,"""Aide!""",FALSE,AIDE
3209,"To me, in Paris",AMOI,Foreign language,Pour moi,FALSE,POURMOI
3189,French friend,AMIE,Foreign language,ami,FALSE,AMI
3193,French girlfriends,AMIES,Foreign language,copines,FALSE,COPINES
3194,French 38-Down,AMIES,Foreign language,38,FALSE,38
3195,Spanish girlfriend,AMIGA,Foreign language,novia,FALSE,NOVIA
3196,Some Spanish friends,AMIGAS,Foreign language,['Could not parse foreign language clue'],FALSE,
3198,French buddies,AMIS,Foreign language,copains,FALSE,COPAINS
3188,French pal,AMIE,Foreign language,copain,FALSE,COPAIN
3200,French buds,AMIS,Foreign language,bourgeois,FALSE,BOURGEOIS
3201,French Facebookers' connections,AMIS,Foreign language,Connexions des Facebookers,FALSE,CONNEXIONSDESFACEBOOKERS
3202,Pals around in Paris?,AMIS,Foreign language,Copains autour,FALSE,COPAINSAUTOUR
3203,They might give each French kisses,AMIS,Foreign language,['Could not parse foreign language clue'],FALSE,
3204,"Parts of some circles, in France",AMIS,Foreign language,Parties de certains cercles,FALSE,PARTIESDECERTAINSCERCLES
3187,French companion,AMIE,Foreign language,compagnon,FALSE,COMPAGNON
3205,The Spanish I love?,AMO,Foreign language,['Could not parse foreign language clue'],FALSE,
3206,"I love, in Mexico",AMO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3207,French mine?,AMOI,Foreign language,le mien?,FALSE,LEMIEN
3208,French possessive,AMOI,Foreign language,possessif,FALSE,POSSESSIF
3228,French love affair,AMOUR,Foreign language,histoire d'amour,FALSE,HISTOIREDAMOUR
3342,Spanish lady's title,DONA,Foreign language,Título de la dama,FALSE,TITULODELADAMA
3185,"Pen pal in Paris, perhaps",AMIE,Foreign language,Correspondant,FALSE,CORRESPONDANT
3230,"Old, in France",ANCIEN,Foreign language,Vieux,FALSE,VIEUX
3182,French lady friend,AMIE,Foreign language,ami,FALSE,AMI
3252,French military force,ARMEE,Foreign language,force militaire,FALSE,FORCEMILITAIRE
3181,Possible subject of a French scandal,AMIE,Foreign language,Sujet possible de,FALSE,SUJETPOSSIBLEDE
3254,Enthusiastic Spanish cry,ARRIBA,Foreign language,['Could not parse foreign language clue'],FALSE,
3255,Excited Spanish cry,ARRIBA,Foreign language,['Could not parse foreign language clue'],FALSE,
3256,Spanish shout of joy,ARRIBA,Foreign language,grito de alegría,FALSE,GRITODEALEGRIA
3251,French force,ARMEE,Foreign language,forcer,FALSE,FORCER
3257,Exuberant Spanish cry,ARRIBA,Foreign language,['Could not parse foreign language clue'],FALSE,
3260,Spanish paintings,ARTE,Foreign language,pinturas,FALSE,PINTURAS
3261,Spanish museum work,ARTE,Foreign language,trabajo de museo,FALSE,TRABAJODEMUSEO
3263,"Dance, in France",BAL,Foreign language,Danse,FALSE,DANSE
3264,Spanish quarters,BARRIOS,Foreign language,cuarteles,FALSE,CUARTELES
3265,Spanish newborn,BEBE,Foreign language,recién nacido,FALSE,RECIENNACIDO
3178,Female friend from France,AMIE,Foreign language,['Could not parse foreign language clue'],FALSE,
3177,Friend in France,AMIE,Foreign language,Ami,FALSE,AMI
3258,Exuberant cry in Mexico,ARRIBA,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3183,"French date, often",AMIE,Foreign language,"date, souvent",FALSE,DATESOUVENT
3249,Part of a Spanish forest,ARBOL,Foreign language,Parte de,FALSE,PARTEDE
3248,A long time in Mexico,ANOS,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3231,"Celestial being, in France",ANGE,Foreign language,Être céleste,FALSE,ETRECELESTE
3232,"Haloed one, in France",ANGE,Foreign language,Halo,FALSE,HALO
3233,"Halo wearer, in France",ANGE,Foreign language,Halo,FALSE,HALO
3234,"Four quarters, in France",ANNEE,Foreign language,Quatre trimestres,FALSE,QUATRETRIMESTRES
3235,Spanish 101 word with a tilde,ANO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3236,Spanish unit of time with a tilde,ANO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3238,"12 months, in Tijuana",ANO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3239,Many meses in Mexico,ANO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3240,"Year, in Mexico",ANO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3241,"2000, e.g., in Spain",ANO,Foreign language,p.ej.,FALSE,PEJ
3242,A year in Mexico,ANO,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
3245,"A long time, in Mexico",ANOS,Foreign language,'NONE' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT,FALSE,NONEISANINVALIDTARGETLANGUAGEEXAMPLELANGPAIRENITUSING2LETTERISOORRFC3066LIKEZHCNALMOSTALLLANGUAGESSUPPORTEDBUTSOMEMAYHAVENOCONTENT
