Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,in vocab,OnlyRoman,MentionsGeo,is analogy
10/21/2021,PALIN,Ferraro : Mondale :: ___ : McCain,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.2857142857142857,0.3939393939393939,False,False,False,False,False,True
10/17/2021,WINES,Bibliophile : books :: oenophile : ___,Other,,False,7,38,13,False,True,False,False,0,False,4.571428571428571,0,0.0,0.34210526315789475,False,False,True,False,False,True
9/27/2021,AGGIES,Longhorns : Texas :: ___ : Texas A&M,Other,,False,8,36,15,False,True,False,False,0,False,3.625,0,0.375,0.4166666666666667,False,False,True,False,False,True
9/26/2021,AMIGA,German : Freundin :: Spanish : ___,Other,,False,7,34,13,False,True,False,False,0,False,4.0,0,0.2857142857142857,0.38235294117647056,False,False,False,False,True,True
9/24/2021,RAND,Â£ : pound sterling :: R : ___,Other,,False,8,29,15,False,True,False,False,0,False,2.75,0,0.125,0.5172413793103449,False,False,True,False,False,True
9/19/2021,PESO,USD : dollar :: MXN : ___,Other,,False,7,25,13,False,True,False,False,0,False,2.7142857142857144,0,0.14285714285714285,0.52,False,False,True,False,False,True
9/15/2021,ORE,Cent : euro :: ___ : krona,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.0,0.5,False,False,True,False,False,True
8/15/2021,DASANI,Aquafina : PepsiCo :: ___ : Coca-Cola,Other,,False,7,37,14,False,True,False,False,0,False,4.428571428571429,0,0.42857142857142855,0.3783783783783784,False,False,False,False,False,True
7/23/2021,UNO,Diciembre : doce :: enero : ___,Other,,False,7,31,13,False,True,False,False,0,False,3.5714285714285716,0,0.0,0.41935483870967744,False,False,False,False,False,True
7/4/2021,TASTE,Auditory : sound :: gustatory : ___,Other,,False,7,35,13,False,True,False,False,0,False,4.142857142857143,0,0.0,0.37142857142857144,False,False,True,False,False,True
7/1/2021,HELLO,Hujambo : Swahili :: ___ : English,Other,,False,7,34,13,False,True,False,False,0,False,4.0,0,0.2857142857142857,0.38235294117647056,False,False,True,False,False,True
6/29/2021,HARRIS,Biden : Obama :: ___ : Biden,Other,,False,7,28,13,False,True,False,False,0,False,3.142857142857143,0,0.42857142857142855,0.4642857142857143,False,False,True,False,False,True
6/28/2021,EURO,$ : dollar :: &euro; : ___,Other,,False,7,26,16,False,True,False,False,0,False,2.857142857142857,0,0.0,0.6153846153846154,False,False,False,False,False,True
6/22/2021,TIGERS,Bruins : U.C.L.A. :: ___ : Princeton,Other,,False,7,36,17,False,True,False,False,4,False,4.285714285714286,0,0.2857142857142857,0.4722222222222222,False,False,True,False,False,True
5/24/2021,MEOW,Ribbit : frog :: ___ : cat,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.0,0.5,False,False,False,False,False,True
5/2/2021,BABOON,Cow : herd :: ___ : troop,Other,,False,7,25,13,False,True,False,False,0,False,2.7142857142857144,0,0.0,0.52,False,False,True,False,False,True
4/26/2021,BAA,Neigh : horse :: ___ : sheep,Other,,False,7,28,13,False,True,False,False,0,False,3.142857142857143,0,0.0,0.4642857142857143,False,False,True,False,False,True
4/8/2021,ASTRO,Dino : the Flintstones :: ___ : the Jetsons,Other,,False,9,43,15,False,True,False,False,0,False,3.888888888888889,0,0.2222222222222222,0.3488372093023256,False,False,False,False,False,True
2/21/2021,POD,Pride : lions :: ___ : dolphins,Other,,False,7,31,13,False,True,False,False,0,False,3.5714285714285716,0,0.0,0.41935483870967744,False,False,True,False,False,True
2/11/2021,ELMS,California : palms :: New England : ___,Other,,False,8,39,14,False,True,False,False,0,False,4.0,0,0.375,0.358974358974359,False,False,True,False,False,True
1/29/2021,SHARE,Twitter : retweet :: Facebook : ___,Other,,False,7,35,13,False,True,False,False,0,False,4.142857142857143,0,0.14285714285714285,0.37142857142857144,False,False,True,False,False,True
1/25/2021,CALF,Foal : mare :: ___ : cow,Other,,False,7,24,13,False,True,False,False,0,False,2.5714285714285716,0,0.0,0.5416666666666666,False,False,True,False,False,True
1/12/2021,PESO,Cordoba : Nicaragua :: ___ : Cuba,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.2857142857142857,0.3939393939393939,False,False,True,False,False,True
1/2/2021,AMIE,German : Freundin :: French : ___,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.2857142857142857,0.3939393939393939,False,False,False,False,True,True
12/27/2020,EMUS,Bevy : quails :: mob : ___,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.0,0.5,False,False,True,False,False,True
12/21/2020,BAAS,Neighs : horses :: ___ : sheep,Other,,False,7,30,13,False,True,False,False,0,False,3.4285714285714284,0,0.0,0.43333333333333335,False,False,True,False,False,True
12/13/2020,ODIN,Thor : Thursday :: ___ : Wednesday,Other,,False,7,34,13,False,True,False,False,0,False,4.0,0,0.2857142857142857,0.38235294117647056,False,False,True,False,False,True
11/5/2020,MOB,Pride : lions :: ___ : emus,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.0,0.48148148148148145,False,False,True,False,False,True
10/29/2020,PESO,Dinar : Iraq :: ___ : Chile,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.2857142857142857,0.48148148148148145,False,False,True,False,False,True
9/6/2020,IAN,Evan : Welsh :: ___ : Scottish,Other,,False,7,30,13,False,True,False,False,0,False,3.4285714285714284,0,0.2857142857142857,0.43333333333333335,False,False,True,False,False,True
9/3/2020,MAITRED,Theater : usher :: restaurant : ___,Other,,False,7,35,13,False,True,False,False,0,False,4.142857142857143,0,0.0,0.37142857142857144,False,False,False,False,False,True
8/28/2020,PARROT,Oscine : songbird :: psittacine : ___,Other,,False,7,37,13,False,True,False,False,0,False,4.428571428571429,0,0.0,0.35135135135135137,False,False,True,False,False,True
8/15/2020,TEAMO,"""Ich liebe dich"" : German :: ""___"" : Spanish",Other,,False,9,44,19,False,True,False,False,0,False,4.0,0,0.2222222222222222,0.4318181818181818,False,False,False,False,True,True
5/28/2020,TOAD,Pride : lion :: knot : ___,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.0,0.5,False,False,True,False,False,True
5/25/2020,ALPHA,___ : first :: omega : last,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.0,0.48148148148148145,False,False,True,False,False,True
5/24/2020,BEERS,Oenology : wines :: zythology : ___,Other,,False,7,35,13,False,True,False,False,0,False,4.142857142857143,0,0.0,0.37142857142857144,False,False,True,False,False,True
5/6/2020,ARROW,Barrel : cooper :: ___ : fletcher,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.0,0.3939393939393939,False,False,True,False,False,True
4/8/2020,DEER,Howl : wolf :: bell : ___,Other,,False,7,25,13,False,True,False,False,0,False,2.7142857142857144,0,0.0,0.52,False,False,True,False,False,True
4/4/2020,LLAMAS,Kids : goats :: crias : ___,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.0,0.48148148148148145,False,False,True,False,False,True
3/4/2020,EMU,Goose : gaggle :: ___ : mob,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.0,0.48148148148148145,False,False,True,False,False,True
2/29/2020,ARM,Cranial : skull :: brachial : ___,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.0,0.3939393939393939,False,False,True,False,False,True
2/8/2020,OWLS,Corvine : crows :: strigine : ___,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.0,0.3939393939393939,False,False,True,False,False,True
1/30/2020,WON,Lira : Turkey :: ___ : Korea,Other,,False,7,28,13,False,True,False,False,0,False,3.142857142857143,0,0.2857142857142857,0.4642857142857143,False,False,True,False,False,True
1/13/2020,ROMAN,Zeus : Greek :: Jupiter : ___,Other,,False,7,29,13,False,True,False,False,0,False,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,False,False,True,False,False,True
1/11/2020,DOE,Sow : pig :: ___ : koala,Other,,False,7,24,13,False,True,False,False,0,False,2.5714285714285716,0,0.0,0.5416666666666666,False,False,True,False,False,True
1/8/2020,RIAL,Egypt : pound :: Iran : ___,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.14285714285714285,0.48148148148148145,False,False,True,False,False,True
11/10/2019,SWAN,Equine : horse :: cygnine : ___,Other,,False,7,31,13,False,True,False,False,0,False,3.5714285714285716,0,0.0,0.41935483870967744,False,False,True,False,False,True
10/17/2019,SRTA,Mlle. : France :: ___ : Spain,Other,,False,7,29,14,False,True,False,False,1,False,3.2857142857142856,0,0.42857142857142855,0.4827586206896552,False,False,False,False,True,True
10/2/2019,BRAHMA,Preserver : Vishnu :: Creator : ___,Other,,False,7,35,13,False,True,False,False,0,False,4.142857142857143,0,0.2857142857142857,0.37142857142857144,False,False,True,False,False,True
9/23/2019,OUI,Si: Spanish :: ___ : French,Other,,False,6,27,12,False,True,False,False,0,False,3.6666666666666665,0,0.3333333333333333,0.4444444444444444,False,False,False,False,True,True
9/12/2019,LOT,Alitalia : Italy :: ___ : Poland,Other,,False,7,32,13,False,True,False,False,0,False,3.7142857142857144,0,0.2857142857142857,0.40625,False,False,True,False,True,True
8/16/2019,COB,Gander : goose :: ___ : swan,Other,,False,7,28,13,False,True,False,False,0,False,3.142857142857143,0,0.0,0.4642857142857143,False,False,True,False,False,True
6/4/2019,EURO,$ : dollar :: &euro; :,Other,,False,6,22,12,False,False,False,False,0,False,2.8333333333333335,0,0.0,0.5454545454545454,False,False,False,False,False,True
5/1/2019,AGHA,Mr. : English :: ___ : Persian,Other,,False,7,30,14,False,True,False,False,1,False,3.4285714285714284,0,0.42857142857142855,0.4666666666666667,False,False,True,False,False,True
4/10/2019,BONNET,Lift : elevator :: ___ : car hood,Other,,False,8,33,14,False,True,False,False,0,False,3.25,0,0.0,0.42424242424242425,False,False,True,False,False,True
3/25/2019,ZOOS,Arboretums : trees :: ___ : animals,Other,,False,7,35,13,False,True,False,False,0,False,4.142857142857143,0,0.0,0.37142857142857144,False,False,True,False,False,True
3/17/2019,NAPPY,Diaper : U.S. :: ___ : U.K.,Other,,False,7,27,17,False,True,False,False,4,False,3.0,0,0.2857142857142857,0.6296296296296297,False,False,True,False,False,True
2/24/2019,ONIONS,Florentine : spinach :: lyonnaise : ___,Other,,False,7,39,13,False,True,False,False,0,False,4.714285714285714,0,0.0,0.3333333333333333,False,False,True,False,False,True
2/19/2019,OVINE,Equine : horses :: ___ : sheep,Other,,False,7,30,13,False,True,False,False,0,False,3.4285714285714284,0,0.0,0.43333333333333335,False,False,True,False,False,True
2/16/2019,WON,Peso : Cuba :: ___ : Korea,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.2857142857142857,0.5,False,False,True,False,False,True
2/12/2019,END,Inning : baseball :: ___ : curling,Other,,False,7,34,13,False,True,False,False,0,False,4.0,0,0.0,0.38235294117647056,False,False,True,False,False,True
1/30/2019,OWLS,Murder : crows :: parliament : ___,Other,,False,7,34,13,False,True,False,False,0,False,4.0,0,0.0,0.38235294117647056,False,False,True,False,False,True
12/31/2018,ODIN,Ares : Greek :: ___ : Norse,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.2857142857142857,0.48148148148148145,False,False,True,False,False,True
12/9/2018,ORE,Cent : U.S. :: ___ : Sweden,Other,,False,7,27,15,False,True,False,False,2,False,3.0,0,0.2857142857142857,0.5555555555555556,False,False,True,False,False,True
11/19/2018,HIVE,Hill : ants :: ___ : bees,Other,,False,7,25,13,False,True,False,False,0,False,2.7142857142857144,0,0.0,0.52,False,False,True,False,False,True
11/17/2018,LLAMA,Foal : horse :: cria : ___,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.0,0.5,False,False,True,False,False,True
11/16/2018,TROOP,Pride : lions :: ___ : monkeys,Other,,False,7,30,13,False,True,False,False,0,False,3.4285714285714284,0,0.0,0.43333333333333335,False,False,True,False,False,True
11/14/2018,PAOLO,Paul : U.S. :: ___ : Italy,Other,,False,7,26,15,False,True,False,False,2,False,2.857142857142857,0,0.42857142857142855,0.5769230769230769,False,False,True,False,True,True
11/8/2018,SHE,Spanish : ella :: English : ___,Other,,False,7,31,13,False,True,False,False,0,False,3.5714285714285716,0,0.14285714285714285,0.41935483870967744,False,False,True,False,True,True
9/3/2018,POLE,Tree : Christmas :: ___ : Festivus,Other,,False,7,34,13,False,True,False,False,0,False,4.0,0,0.2857142857142857,0.38235294117647056,False,False,True,False,False,True
9/2/2018,IRONLADY,British Bulldog : Churchill :: ___ : Thatcher,Other,,False,8,45,14,False,True,False,False,0,False,4.75,0,0.375,0.3111111111111111,False,False,False,False,False,True
6/10/2018,SEPTA,San Francisco : BART :: Philadelphia : ___,Other,,False,8,42,14,False,True,False,False,0,False,4.375,0,0.5,0.3333333333333333,False,False,True,False,False,True
5/25/2018,ABU,Son of : ibn :: father of : ___,Other,,False,9,31,15,False,True,False,False,0,False,2.5555555555555554,0,0.0,0.4838709677419355,False,False,True,False,False,True
5/5/2018,HIP,Axilla : armpit :: coxa : ___,Other,,False,7,29,13,False,True,False,False,0,False,3.2857142857142856,0,0.0,0.4482758620689655,False,False,True,False,False,True
4/27/2018,CROATIAN,Ruble : Russian :: kuna : ___,Other,,False,7,29,13,False,True,False,False,0,False,3.2857142857142856,0,0.14285714285714285,0.4482758620689655,False,False,True,False,False,True
4/26/2018,PEAR,Oviform : egg :: pyriform : ___,Other,,False,7,31,13,False,True,False,False,0,False,3.5714285714285716,0,0.0,0.41935483870967744,False,False,True,False,False,True
4/15/2018,DANKE,Gracias : Spanish :: ___ : German,Other,,False,7,33,13,False,True,False,False,0,False,3.857142857142857,0,0.2857142857142857,0.3939393939393939,False,False,False,False,True,True
3/18/2018,ETRE,Ser : Spanish :: ___ : French,Other,,False,7,29,13,False,True,False,False,0,False,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,False,False,False,False,True,True
3/17/2018,VON,De : French :: ___ : German,Other,,False,7,27,13,False,True,False,False,0,False,3.0,0,0.42857142857142855,0.48148148148148145,False,False,False,False,True,True
3/8/2018,NED,ESP : Spain :: ___ : Netherlands,Other,,False,7,32,13,False,True,False,False,0,False,3.7142857142857144,0,0.2857142857142857,0.40625,False,False,True,False,True,True
2/26/2018,OUI,Si : Spain :: ___ : France,Other,,False,7,26,13,False,True,False,False,0,False,2.857142857142857,0,0.2857142857142857,0.5,False,False,False,False,True,True
2/16/2018,IBN,Hebrew : ben :: Arabic : ___,Other,,False,7,28,13,False,True,False,False,0,False,3.142857142857143,0,0.14285714285714285,0.4642857142857143,False,False,False,False,False,True
2/1/2018,OTTER,Den : bear :: holt : ___,Other,,False,7,24,13,False,True,False,False,0,False,2.5714285714285716,0,0.0,0.5416666666666666,False,False,True,False,False,True
1/31/2018,SER,Etre : French :: ___ : Spanish,Other,,False,7,30,13,False,True,False,False,0,False,3.4285714285714284,0,0.2857142857142857,0.43333333333333335,False,False,True,False,True,True
1/23/2018,COBS,Drakes : ducks :: ___ : swans,Other,,False,7,29,13,False,True,False,False,0,False,3.2857142857142856,0,0.0,0.4482758620689655,False,False,True,False,False,True
1/5/2018,WHALE,Orion : Hunter :: Cetus : ___,Other,,False,7,29,13,False,True,False,False,0,False,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,False,False,True,False,False,True
12/4/2017,NATS,Yanks : New York :: ___ : Washington,Other,,False,8,36,14,False,True,False,False,0,False,3.625,0,0.375,0.3888888888888889,False,False,True,False,False,True
11/2/2017,KNOB,Pinch : salt :: ___ : butter,Other,,False,7,28,13,False,True,False,False,0,False,3.142857142857143,0,0.0,0.4642857142857143,False,False,True,False,False,True
9/4/2017,RUBLE,Pound : U.K. :: ___ : Russia,Other,,False,7,28,15,False,True,False,False,2,False,3.142857142857143,0,0.2857142857142857,0.5357142857142857,False,False,True,False,False,True
8/7/2017,ARIES,Leo : lion :: ___ : ram,Other,,False,7,23,13,False,True,False,False,0,False,2.4285714285714284,0,0.0,0.5652173913043478,False,False,True,False,False,True
8/6/2017,TORCH,Flashlight : U.S. :: ___ : U.K.,Other,,False,7,31,17,False,True,False,False,4,False,3.5714285714285716,0,0.2857142857142857,0.5483870967741935,False,False,True,False,False,True
7/10/2017,PUP,Kitten : cat :: ___ : dog,Other,,False,7,25,13,False,True,False,False,0,False,2.7142857142857144,0,0.0,0.52,False,False,True,False,False,True
6/23/2017,WON,Peso : Mexico :: ___ : Korea,Other,,False,7,28,13,False,True,False,False,0,False,3.142857142857143,0,0.2857142857142857,0.4642857142857143,False,False,True,False,True,True
6/8/2017,SLOAN,Penn : Wharton :: M.I.T. : ___,Other,,False,7,30,16,False,True,False,False,3,False,3.4285714285714284,0,0.2857142857142857,0.5333333333333333,False,False,True,False,False,True
5/28/2017,DEER,Ovine : sheep :: cervine : ___,Other,,False,7,30,13,False,True,False,False,0,False,3.4285714285714284,0,0.0,0.43333333333333335,False,False,True,False,False,True
5/18/2017,SEPTA,BART : San Francisco :: ___ : Philadelphia,Other,,False,8,42,14,False,True,False,False,0,False,4.375,0,0.375,0.3333333333333333,False,False,True,False,False,True
5/12/2017,TONYS,Molieres : France :: ___ : U.S.,Other,,False,7,31,15,False,True,False,False,2,False,3.5714285714285716,0,0.2857142857142857,0.4838709677419355,False,False,True,False,True,True
5/5/2017,RESTAREA,Lay-by : England :: ___ : America,Other,,False,7,33,14,False,True,False,False,0,False,3.857142857142857,0,0.2857142857142857,0.42424242424242425,False,False,False,False,False,True
